CASEID,WEIGHT,WEIGHTPOP,P_PARTYID7,QUALLIFE,HLTHPHYS,HLTHMNTL,SATSOC,ACTSSOC,PHYSACTS,EMOPROBS,FATIGUE,RATEPAIN,FEELA,FEELB,FEELC,FEELD,FEELE,FEELF,FEELG,FEELH,FEELI,FEELJ,STRESS1,STRESS2,STRESS3,STRESS4,LONELY1,LONELY2,LONELY3,SATFIN,FINALTER,FINRELA,GOODLIFE,KIDSSOL,HAPPY,REACT1A,REACT1B,REACT1C,REACT1D,REACT1E,REACT1F,REACT1G,REACT1H,REACT1I,REACT1J,REACT1K,REACT1L,REACT1M,REACT1N,REACT1O,REACT2A,REACT2B,REACT2C,REACT2D,REACT2E,REACT2F,REACT2G,REACT2H,REACT2I,REACT2J,REACT2K,REACT2L,REACT2M,REACT2N,REACT2O,THNGA,THNGB,THNGC,THNGD,THNGE,INFO,CHANGE,Q9,Q10,Q11,Q14,ECONIMPACTA,ECONIMPACTB,ECONIMPACTC,ECONIMPACTD,ECONIMPACTE,ECONIMPACTF,ECONIMPACTG,ECONIMPACTH,ECONIMPACTI,ECONIMPACTJ,ECONIMPACTK,ECONIMPACTL,ECONIMPACTM,ECONIMPACTN,ECONIMPACTO,ECONIMPACTP,ECONIMPACTQ,Q25_1,Q25_2,Q25_3,Q25_4,Q25_DK,Q25_SKP,Q25_REF,Q19,Q20_1,Q20_2,Q20_3,Q20_DK,Q20_SKP,Q20_REF,Q21A,Q21B,Q21C,Q21D,Q21E,Q21F,Q21G,CAREGAPA,CAREGAPB,CAREGAPC,CAREGAPD,CAREGAPE,CAREGAPF,CAREGAPG,CAREGAPH,CAREGAPI,CAREGAPJ,CAREGAPK,CAREGAPL,WHYCAREGAPA,WHYCAREGAPB,WHYCAREGAPC,WHYCAREGAPD,WHYCAREGAPE,WHYCAREGAPF,WHYCAREGAPG,WHYCAREGAPH,WHYCAREGAPI,WHYCAREGAPJ,WHYCAREGAPK,WHYCAREGAPL,TELEHEALTH,CAREGIVEA,CAREGIVEB,CAREGIVEC,CAREGETA,CAREGETB,CAREGETC,FLOYDPROTESTA,FLOYDPROTESTB,FLOYDPROTESTC,FLOYDPROTESTD,STARTDT,ENDDT,DURATION,SURV_MODE,SURV_LANG,DEVICE,GENDER,AGE4,AGE7,EDUC4,MARITAL,EMPLOY,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,HHINCOME,EDU_R3,INC_R3,EMPLOYED,MARRIED,RACETH,AGE_GROUP_R5,HOTSPOT
52,1.28899564,160756.67850,Moderate Democrat,Excellent,Excellent,Excellent,Very good,Excellent,Completely,Never,Mild,1,Yes,Yes,Yes,No,Yes,Yes,Yes,SKIPPED ON WEB,SKIPPED ON WEB,No,Never,Very often,Very often,Never,Sometimes,Rarely,Never,Satisfied,Better,Above average,Neither agree nor disagree,No children,Pretty happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,Often,Some,No,No,Yes,"Yes, I receive full pay but do not have to take leave",No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Not sure,No,No,No,No,No,No,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,26JUN20:16:29:12,26JUN20:16:45:11,16,Web Interview,English,Desktop,Female,30-44,35-44,BA or above,Never married,Working - as a paid employee,Midwest,East North Central,Metro Area,Internet Household,Rented for cash,A one-family house attached to one or more houses,Cellphone only,1,0,0,0,0,1,"$75,000 to under $100,000",Bachelors degree or more,"$50,000 to under $100,000",Employed,Not married,"African American, non-Hispanic",30 to 39,Not Hotspot
54,0.19396867,24190.740220,Lean Republican,Very good,Good,Very good,Very good,Excellent,Completely,Rarely,Moderate,0 - No pain,Yes,No,No,No,Yes,No,No,No,Yes,No,Almost never,Fairly often,Fairly often,Never,Sometimes,Rarely,Never,Satisfied,Better,Average,Somewhat disagree,Much worse,Pretty happy,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,,,No,No,,,,No,Yes,,Yes,,,,No,Yes,Yes,Yes,No,No,Occasionally,Some,No,No,Yes,"Yes, I use paid leave",No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Not sure,Yes,Yes,No,No,No,No,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,26JUN20:16:58:28,26JUN20:17:11:49,14,Web Interview,English,Smartphone,Female,30-44,25-34,BA or above,Married,Working - as a paid employee,Midwest,West North Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,2,0,0,0,0,2,"$75,000 to under $100,000",Bachelors degree or more,"$50,000 to under $100,000",Employed,Married/co-habitating,"White, non-Hispanic",30 to 39,Not Hotspot
56,0.64715279,80709.452540,Lean Republican,Fair,Fair,Good,Fair,Poor,A little,Sometimes,Moderate,7,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Fairly often,Sometimes,Never,Sometimes,Often,Often,Sometimes,Not at all satisfied,Worse,Far below average,Strongly disagree,About the same,Not too happy,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,,Yes,No,,No,,No,Yes,No,No,Yes,No,No,Occasionally,None,No,Yes,No,"No, I receive no pay",No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,"Some possible symptoms, but no diagnosis by doctor",No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,,,,Both,Provider decided,Provider decided,,,Provider decided,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Disagree,Agree,Neither agree nor disagree,Agree,23JUN20:15:08:27,23JUN20:15:18:40,10,Web Interview,English,Smartphone,Female,45-59,45-54,Some college,Separated,Not working - disabled,South,East South Central,Non-Metro Area,Internet Household,Rented for cash,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",6,0,3,1,0,2,"$10,000 to under $20,000",Some college,"Less than $50,000",Not employed,Not married,"White, non-Hispanic",40 to 59,Not Hotspot
61,0.88652846,110563.11300,Lean Democrat,Fair,Fair,Good,Good,Good,Mostly,Rarely,Moderate,3,No,No,No,No,No,Yes,No,Yes,No,No,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Often,Rarely,Not at all satisfied,Stayed the same,Below average,Somewhat agree,No children,Not too happy,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,,,Yes,,No,,,No,,,No,,,,,No,No,No,No,No,Occasionally,None,No,No,Yes,"Yes, I use paid leave",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,Agree,Agree,Agree,Neither agree nor disagree,24JUN20:07:16:28,24JUN20:07:25:25,11,Web Interview,English,Smartphone,Male,30-44,25-34,BA or above,Married,Working - as a paid employee,South,South Atlantic,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,2,0,0,0,0,2,"$30,000 to under $40,000",Bachelors degree or more,"Less than $50,000",Employed,Married/co-habitating,Other,30 to 39,Not Hotspot
63,0.88972936,110962.31260,Moderate Democrat,Fair,Poor,Poor,Fair,Fair,A little,Always,Severe,7,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Fairly often,Sometimes,Almost never,Fairly often,Very often,Very often,Very often,More or less satisfied,Stayed the same,Far below average,Somewhat disagree,Much worse,Not too happy,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,No,Yes,No,No,Often,None,No,No,No,"No, I receive no pay",No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Yes,Strongly agree,Disagree,Strongly agree,Disagree,22JUN20:20:26:27,24JUN20:09:40:12,19,Web Interview,English,Desktop,Male,60+,55-64,HS graduate or equivalent,Widowed,Not working - disabled,West,Mountain,Non-Metro Area,Non-internet household,Rented for cash,A building with 2 or more apartments,Cellphone only,1,0,0,0,0,1,"Under $10,000",High school diploma or less,"Less than $50,000",Not employed,Not married,"White, non-Hispanic",60 to 64,Not Hotspot
65,0.80540171,100445.41620,Lean Republican,Very good,Very good,Very good,Good,Very good,Completely,Rarely,Moderate,1,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Sometimes,Almost never,Sometimes,Almost never,Never,Sometimes,Rarely,Satisfied,Stayed the same,Above average,Neither agree nor disagree,About the same,Not too happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No,No,Yes,No,No,Often,None,No,No,No,"No, I receive no pay",No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,I decided,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,23JUN20:12:43:55,23JUN20:13:03:55,20,Web Interview,English,Desktop,Male,60+,75+,BA or above,Married,Not working - retired,Northeast,Mid-Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",2,0,0,0,0,2,"$100,000 to under $150,000",Bachelors degree or more,"$100,000 or more",Not employed,Married/co-habitating,"White, non-Hispanic",65 or older,Hotspot
66,0.58725068,73238.780730,Lean Republican,Very good,Good,Very good,Good,Very good,Completely,Sometimes,Mild,1,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Almost never,Very often,Sometimes,Almost never,Sometimes,Rarely,Sometimes,Satisfied,Better,Above average,Strongly agree,Much better,Pretty happy,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,,,Yes,,,Yes,,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,No,Yes,Occasionally,Some,No,No,Yes,"No, I receive no pay",No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Not sure,Yes,No,Yes,No,No,No,Agree,Strongly agree,Agree,Agree,27JUN20:09:44:53,27JUN20:09:59:58,15,Web Interview,English,Smartphone,Male,30-44,25-34,Some college,Married,Working - as a paid employee,Midwest,West North Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,3,1,0,0,0,2,"$100,000 to under $150,000",Some college,"$100,000 or more",Employed,Married/co-habitating,"White, non-Hispanic",30 to 39,Not Hotspot
67,0.52294266,65218.626210,Don't Lean/Independent/None,Good,Good,Good,Good,Good,Moderately,Sometimes,Moderate,4,No,No,No,No,No,Yes,No,No,No,No,Sometimes,Sometimes,Sometimes,Almost never,Often,Sometimes,Sometimes,More or less satisfied,Stayed the same,Average,Neither agree nor disagree,No children,Not too happy,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,,No,,,Yes,Yes,Yes,Yes,,,,,,Yes,No,No,Yes,No,No,Occasionally,None,No,No,Yes,"Yes, I use paid leave",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,No,No,No,No,No,No,No,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,29JUN20:06:30:32,29JUN20:06:45:41,16,Web Interview,English,Smartphone,Male,30-44,35-44,Some college,Never married,Working - as a paid employee,South,South Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Landline telephone only,1,0,0,0,0,1,"$50,000 to under $75,000",Some college,"$50,000 to under $100,000",Employed,Not married,"White, non-Hispanic",30 to 39,Not Hotspot
69,0.77405257,96535.717970,Moderate Republican,Very good,Very good,Very good,Good,Very good,Completely,Rarely,None,2,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Sometimes,Fairly often,Fairly often,Almost never,Rarely,Rarely,Rarely,Satisfied,Better,Above average,Strongly agree,No children,Pretty happy,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,,Yes,Yes,,No,No,,,,,,,,,No,Yes,Yes,No,No,Often,Only a few,No,No,No,"No, I receive no pay",No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,Provider decided,,,Yes,No,No,Yes,No,No,No,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,22JUN20:14:50:12,22JUN20:15:11:27,22,Web Interview,English,Smartphone,Male,60+,75+,Some college,Married,Working - self-employed,South,West South Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house attached to one or more houses,Cellphone only,2,0,0,0,0,2,"$100,000 to under $150,000",Some college,"$100,000 or more",Employed,Married/co-habitating,Other,65 or older,Not Hotspot
70,0.51504347,64233.481380,Moderate Democrat,Very good,Very good,Very good,Good,Very good,Completely,Rarely,None,1,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Never,Very often,Fairly often,Never,Sometimes,Sometimes,Rarely,More or less satisfied,Worse,Below average,Neither agree nor disagree,Somewhat better,Pretty happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No,No,No,No,No,Often,None,No,No,No,"No, I receive no pay",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,No,No,No,No,No,No,No,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,22JUN20:11:57:53,22JUN20:12:16:30,19,Web Interview,English,Desktop,Male,45-59,55-64,BA or above,Divorced,Working - as a paid employee,Midwest,East North Central,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",3,0,0,0,1,2,"$50,000 to under $75,000",Bachelors degree or more,"$50,000 to under $100,000",Employed,Not married,"White, non-Hispanic",40 to 59,Not Hotspot
